Character,Quote
Hank Hill," [at a cold turkey support group meeting, glaring at the counselor] I got the strangest feeling someone's gonna kick his ass."
Psychiatrist, I see.
Bill Dautrieve, Oh.
Kahn Souphanousinphone," We are Laotian--from Laos, stupid! It's a landlocked country in southeast Asia. It's between Vietnam and Thailand, OK? Population 4.7 million."
Peggy, Oil is very important to America.
Luanne, I don't want to hurt anyone... I just want them to do the dishes.
Peggy," It's okay. I'm here, you can go now. Go, go into the light. The light is good. You can just let go now."
Hank Hill, What difference does it make?
Bobby," But, I don't want to eat any dirt. Well, maybe just a little. (He pretends to eat dirt) Yum, that's good dirt."
Hank," Hey Bobby. How was the surf today? Did Boomhauer do his famous flamingo? That's when he stands on one leg, that's not easy to do, even on the ground."
Dale Gribble, I see the buffalo! I AM THE BUFFALO!
Hank Hill," For God's sakes, Bobby, what nationality are you?"
Hank Hill," Okay now, where was I?"
Hank," Bobby's a good kid, but he's no genius. We have the report card to prove it. And since when is pop culture a considered ""academic""?"
Dale Gribble, I thought we agreed to never discuss the horrors we saw on the killing fields of the Family Fun Center.
Peggy," It's not cussing Hank, to say the name of a god-given body part."
Hank, Yep.
Hank," Huh, that sounds like propane. I wonder if they ever made a robot that runs on propane."
Hank," But that shouldn't stop you from pursuing your own dreams of wood, plywood, pressed fiberboard, and, if you've got the talent, metal! Y'see, shop doesn't have to happen in any special place - as long as it's well lit, and the outlets are grounded. Because shop is bigger than any classroom, or garage, or stupid policy that makes tools illegal - it's in our hearts."
Bobby, Mom! I don't want to do this!
Peggy{chuckling}, I am too young to be Luanne's mother. I am her aunt.
Hank, What? Is that my belt sander?
Pollard Wigand," Hello? Buck? Well, we are in the middle of a hearing...Like the one in 1984? Consortium members perk up OK then! hangs up Gentlemen, that was Buck Strickland. His ""hospitality suite"" is open."
Hank, (To Dale): You shouldn't have destroyed Luanne's dolls.
Bobby," ""Watch it. You're pulling off the wings! Let go! I'm not leaving! I am not leaving unless Connie leaves with me."" (Bobby now gets in, trying to hold his grip onto the couch.)"
Luanne Platter Kleinschmidt,  Mama got outta prison! (runs to the garage)
Hank, Distilled water?
Peggy," Well, of course you don't!"
Dale Gribble, Apparently this door has some kind of anti-opening device.
Hank, Speaking.
Hank, (Hank realizes he's all alone and sighs. Then he sees Khan starting to build a fence.) Hey Khan. I thought I heard someone mixing concrete.
Kahn Souphanousinphone, What do you want with that chicken-fried loser?
Hank Hill," Hey Vickers, who do you like for the Super Bowl next year? The Doopie Loopies or the Shimmie Shammies?"
Hank Hill," You gave your life to save my son. I guess that makes us even for you ruinin' my lawn. What am I saying? Of course, it makes us even!"
Hank," No, we didn't rent it. So if you could please erase the $40 and penalize yourself whatever you think is fair, we'll be on our way."
Peggy," Actually, no."
Hank Hill," No, you are not tripping, that is an emu."
Hank Hill,"  Uhh...Strickland Propane, taste the...I mean, hello?"
Bobby, Yeah.
John Redcorn, You've got to be kidding!
Lucky," No, but Costco gave me the slip on pee-pee money for my settlement."
Hank Hill," Dad, it's Jesus peace, not Hippie peace..."
Hank Hill," ""Heck, I thought I'd go ahead and sharpen all the axes."""
Peggy Hill," No, It didn't. You went to State and lost."
Luanne Platter, (sighs) Mr. Strickland's wife is beautiful.
Cotton Hill," All right, all right. I'm callin' him ""Good Hank."""
Peggy Hill," Honey, marriage is about trust and she... well she betrayed him. It was like a knife in his heart when she stuck that fork in his back."
Hank," What?! Arlen Video told you I rent pornography?! Uh, (Sees Buck Strickland and his co-workers and gasps), who plays the most hits? Y104! Heh, okay. Ah-heh, crazy morning zoo."
Joseph Gribble, He's just being nice to me so my real dad won't freeze him in carbonite and trade him for spice.
Buck," Well, now that everyone's got a pretty girl on his lap, I would like to discuss leniency for my employee, Hank Hill."
Hank Hill," Yeah, they’re all nice guns and all guns are nice."
Hank," [To Luanne] Just when I think you've said the stupidest thing ever, you keep talkin'!"
Dale, Yup.
Dale Gribble," So it turns out I'm not the actual Dale Gribble, but a clone of him. The original Dale Gribble is a super-warrior from the year 2087. The second me, i.e. I, was created to help the first me fight the invading Mongol armies."
Teacher," (wipes her glasses) Don't test me, young man."
Bobby, Mrs. Johnson's bag has six puppies. Mr. Peterson's bag has minus four puppies...
Luanne Platter," Uncle Hank, I quit being a virgin the first time I had sex."
Khan," Oh yes! Thank you, Ted!"
Park Ranger!," Good Riddance! Go to Hell! HEY, HUG THIS!"
Wikipedia has an article about,
Cotton Hill," [to Luanne] You will never know if you are attractive. It's up to a man to tell you that. You keep eating, and I'll tell you when to stop."
Hank," Dale, you giblet-head, if you were gonna cheat, why'd you buy a frozen bass?"
Kahn, You will offer me full membership!
Bobby Hill," Dad! Dad, the police are lookin' for you!"
Hank, (To Luanne): You shouldn't have cheated on Dale's ideas
Carl Moss, (exasperated) They'll just put the tools down if they want to do the drugs bad enough.
Wrestling Coach, Shouldn't you be teaching the girls about their monthlies?
Peggy," Nuh-uh. Unless it's got the name Merchant, Ivory, or Billy Crystal above the title. I am not interested."
Bobby," ""I'm sweet on you, Connie! I'm your little candy man!"""
Hank," Say, is that a new suede vest?"
Hank Hill, No.
Bill Dauterive, I've never had a caddy before. I'm gonna treat him like crap.
Hank Hill, What?
Hank Hill, You are a BALD FACED LIAR!
Head Jane," Well, people are often intimidated by those of high intellect. But you are a smart woman, no matter what your husband has told you."
Dale, It said P-lacebo... it must be made by P-fizer.
Peggy, HAAAAAANNNNNKKKK!
Alejandro, We want a plane to Disney World. And 100 gallons of diesel fuel!
Wally, What's the matter? 40 ounces for a buck is a good deal.
Hank Hill, That's where the culottes are.
Bobby," Not one of [these girls] has seen my ""Flatulent Monkey Visits the Post Office"" routine!"
Luanne," Really, Bobby. They haven't said anything."
Dale Gribble," Whoa, hold on, son! I want you to keep an open mind so you can make an informed decision. If you want, you can read a bloated government report on smoking or go straight to the horse's mouth and get the facts from the tobacco industry!"
Hank, I think we lost them. We'll be okay.
Hank Hill, What's that smell?
Dale Gribble," Objection, Conjecture, Object-ure!"
Dale," So help me, Bill don't mess with my trigger finger!"
Big Jim," Ha ha, that's telling him."
Lucky, Cigarette math is full of surprises.
Cane Skretteberg," I don't care how many guys you held in the men's room, you still can't beat us!"
Hank Hill,  Peggy...I can see your whatnots.
Peggy," Honey, I'm begging you. For the sake of this family, you have got to do it. He's waiting for you out on the porch."
Joseph Gribble," Dad, I'm sorry! I'll never smoke again."
Bill," (in falsetto voice) Why do you keep calling me ""Bill?"""
,Ted Wassanasong: I don't understand. How do you expect to parade around without your uniform?
Dale Gribble," Bobby, you'll be eating your father's pork chop every night for the rest of your life. Wait. That's the saddest thing I've ever heard. Retraction! Bobby, you will not be having your father's pork chop tonight, or any other night! You hear me Hank?!  Bobby's not eating your pork chop! "
Kahn," OK, this going in a weird direction now."
Hank," Shut your mouth! Now, we're going to sit here and pray."
Kahn Souphanousinphone, Laos. We Laotian.
Peggy," Very good. Now, say it to Bobby."
Dale Gribble," C'mon, I'm not leaving without my kiss. I can wait.... I can destroy you."
Luanne, Halloween is a satanic holiday. It was invented by the Dru-ish.
Hank," Well, we're doing great on our list, Lucky. Later today we'll go see my guy about a will, you want to make sure the right people inherit your debts."
Hank, Yup.
Luanne, I knew you weren't really a jerk.
Bill, I'm all for lady's wrestling. Except when they do it in pudding. That's just demeaning to the human beings who make pudding.
Hank, You want me to wear a fake hiney?
Cotton Hill, Hoo-wee! Fiesty!
Kahn," Uh, Maybe I keep garage inside SUV! (laughs) Kiss my ass!"
Hank,(Shouting to Bobby stumbling around on the roof) It's a roof! Not American Bandstand!
Unidentified feminist singer,I met a guy in my boxing classand I slept with him before I kicked his ass!
Mr. Kuykendall, Like the one in 84?
Hank Hill," Don't listen to her, Bobby. If you wanna win, you're gonna have to do better than your best."
Deprogrammer #1," Do not worry young lady, all will be OK. Thank God we got her."
Cotton Hill," Not anymore, I'm takin' it back! HE'S Hank!"
Dale Gribble," Back off, Hank, or Octavio will mess you up."
Dale, (chuckling): No. And of course there is a total lack of toilet paper...and privacy.
Hank Hill, Still?
Hank Hill," Ahm ... sure, that'd work."
Wikipedia has an article about,
Peggy Hill," You know, I think I will save the rest of my ""tile"" for after breakfast."
Hank," Uh, she's fine, and how's uh, do I know you?"
Seasons, 1 2 3 4 5 6 7 8 9 10 11 12 13 | Main
Dale Gribble, This tornado's already registered a level two on the Fujisaki scale. A storm that strong will send an egg through a barn door -- two barn doors if one of them's open.
Hank Hill,"""Don't touch me. I'm on the John."""
Peggy, Only if they want bathroom fixtures that shine like the sun.
Peggy Hill, Happiness. Happ-i-ness. Ha-penis. Penis. I did it! Ovaries. Uvula. Uterus. VAAAGINA!
Hank Hill, The hardware department.
Seasons, 1 2 3 4 5 6 7 8 9 10 11 12 13 | Main
Hank Hill, [referring to the sound of Bobby throwing a baseball at the living room wall] Dammit! There it is again! Where is that thumpin' comin' from? It's drivin' me crazy!
Hank Hill, So are you Chinese or Japanese?
Peggy," Well, Luanne really could use a boost right now, but I could not take advantage of our friendship like that, no."
Hank, Mega-Lo-Mart?! Well why don't you just go to hell or work for the devil?!
Peggy," Hey Hank, I just said..."
Hank Hill," Wait a minute, I didn't let him, I made him. It was a punishment."
Bobby," Well, Dad, it looks like this is the last one."
Hank Hill, You get out... your hooker stuff... of my house!
Hank Hill, I'm gonna kick it harder if you don't come over here!
Bobby Hill, I've got gout!
Boomhauer," Hey man, is this dang ol'  911? Hey listen, there's a dang  ol' fire in here, and dang ol' Mega-Lo-Mart went boom!"
Kahn," You're Bill Dauterive, that's your alibi."
Hank," That's a clean-burning Hell, I tell you what!"
Bobby Hill," The pitcher could walk me, couldn't he?"
Bill," (To Boomhauer)  I know how dark it is for you right now; curled up, lying in your own emotional vomit. You're in hell now, Boomhauer. And the only way out is through a long, dark tunnel. And you're afraid to go in, because there's a train comin' at you, carryin' a boxcar full of heartbreak. Well, let me tell you something: all you can do is let it hit you. And then try to find your legs. I know, I've taken that hit more times than I can remember. Look at me Boomhauer, I'm fat, and I'm old, and every day I'm just gonna wake up fatter and older. Yet somehow I manage to drag this fat old bald bastard into the alley every day. I'm out there diggin' holes, fallin' into them, climbin' out, tryin' again, and tomorrow, I'm gonna hang outside at a ladies prison. And the first thing those lady cons are gonna see after 20 years? Is me. Will I get one? Experience says no. Will I be out there next month? If I'm alive you better believe it. You gotta get right back up on that tanning bed, slip into a tight t-shirt, wash off some of that cologne, and get yourself out of that tunnel and into some strange woman's bed!"
